0000010     -0,05377226    -0,082211345    -0,053935785     0,030126309
0000030      0,00870928     0,024457518     0,030358821     0,008879702
0000050     0,024848318    -0,059157312     -0,08227434    -0,058049183
0000070      0,02311539     0,010839846     0,027306259     0,023686953
0000110      0,01100485     0,027568206     -0,05438281     -0,08005739
0000130    -0,052015264     0,028558603     0,006865115     0,028668044
0000150     0,028733019    0,0070554777       0,0290179     -0,06649009
0000170    -0,077304706    -0,059135955     0,018515704     0,003444666
0000210     0,018201185     0,018733624    0,0035922423     0,018526701
0000230    -0,043167707     -0,08247849    -0,034667064      0,02176074
0000250    0,0019440749     0,019414214      0,02219567    0,0019926433
0000270     0,019967802    -0,025780905     -0,08245239    -0,020895906
0000310    0,0069358293  -0,00010077774    0,0077116913     0,007346561
0000330  -0,00014297097     0,008138891    -0,025989197     -0,07991889
0000350    -0,019083507     0,019499965     0,001379408    0,0141601795
0000370     0,019908573    0,0013689231     0,014598778    -0,025830055
0000410    -0,082541555    -0,017722502    0,0062582297  -0,00071748474
0000430     0,007175667    0,0066917795  -0,00080996915    0,0075722616
0000450    -0,022088101      -0,0774356    -0,013738945     0,014308937
0000470   0,00030186502     0,005851335     0,014725953   0,00023588969
0000510    0,0061467704    -0,025907084    -0,082470156    -0,011648994
0000530    0,0060955514     -0,00498499     0,008155923    0,0066035595
0000550    -0,005091415     0,008462509    -0,018040229     -0,08254879
0000570    -0,008550885     0,009916213   -0,0036360433     0,008179913
0000610     0,010327261   -0,0037943912     0,008362951    -0,029459639
0000630    -0,082597956    -0,011496261     0,010872831   -0,0018442825
0000650      0,00754063     0,011328582   -0,0019553148    0,0077685937
0000670    -0,025374318     -0,07947727    -0,008217548     0,023412518
0000710   0,00090415595     0,013568797     0,023817867    0,0008760035
0000730     0,013805037    -0,030046307     -0,07995216   -0,0068416568
0000750     0,018056227    0,0009533452    0,0064505576      0,01852344
0000770    0,0009200843    0,0066412687     -0,03367665     -0,07757285
0001010    -0,002140824     0,026555657    0,0049677934    0,0012400522
0001030     0,026993945    0,0049180323    0,0012496687     -0,02820121
0001050     -0,08219518    0,0053544682     0,010409141     0,001964128
0001070   -0,0026751515     0,010822963    0,0018632489    -0,002874937
0001110    -0,027552899      -0,0822305     0,008148109     0,016570436
0001130     0,002532612   -0,0022208872     0,016905453     0,002431693
0001150   -0,0024343005     -0,02504986     -0,07984345     0,010700026
0001170     0,013835445  -0,00040608295    -0,013915842     0,014368214
0001210  -0,00044494058    -0,014181393    -0,018885111     -0,07732844
0001230     0,010021058     0,016887274    0,0054951278    -0,008896612
0001250     0,017377593    0,0054228017    -0,009198237    -0,026699273
0001270     -0,08243963      0,01453318     0,014496267    0,0008659607
0001310    -0,010526425     0,014803734   0,00078806427    -0,010825811
0001330    -0,020575374     -0,08236765    0,0130806295     0,007898609
0001350   -0,0012089266    -0,015565473       0,0082558   -0,0013316821
0001370    -0,015752388     -0,02528044      -0,0792724     0,015398893
0001410     0,016873382    0,0039667888    -0,008694528     0,017282752
0001430    0,0038672122   -0,0091083385     -0,02484531     -0,08252565
0001450     0,016590878     0,016029585   -0,0035895538    -0,014036012
0001470     0,016388781     -0,00367869    -0,014381716    -0,024713147
0001510     -0,08240961     0,019682685    0,0066458434   0,00068325526
0001530   -0,0154818315     0,007107987    0,0006120347    -0,015868062
0001550    -0,058630332    -0,079865344      0,03872529     0,022750244
0001570     0,005546775     -0,03785507     0,022968825    0,0056220265
0001610    -0,038485676      -0,0664616    -0,077600926     0,056841888
0001630     0,020657597     0,003211175    -0,029137267     0,020863201
0001650    0,0034487105    -0,029352266    -0,059285067    -0,082132004
0001670     0,047584176     0,036476035     0,009695734     -0,03275944
0001710     0,036962576     0,009925041    -0,033131003     -0,06483163
0001730    -0,082149684      0,05336939    0,0034658168     0,013868892
0001750    -0,041046523    0,0035986952     0,014032243     -0,04163984
0001770    -0,052528776     -0,08226558     0,048021257       0,0349523
0002010    0,0097980425    -0,031708498      0,03533245     0,009965193
0002030     -0,03215669     -0,06028669     -0,08024095    -0,062086325
0002050     0,022710038   -0,0016201136     0,016392607     0,023069018
0002070    -0,001451739       0,0167654     -0,06561219    -0,071091965
0002110     -0,06235266    0,0077621746    -0,007879373     0,011433079
0002130     0,007827035   -0,0073387055     0,011521358    -0,062142406
0002150     -0,06954923     -0,06559301     0,011548951    -0,003030552
0002170     0,009192943     0,011643726   -0,0025268344     0,009295285
0002210    -0,040042907     -0,08248746    -0,033802677     0,017350586
0002230    0,0015263752     0,015381495     0,017824365    0,0015640999
0002250     0,015906367    -0,060400445     -0,07985663     -0,04993049
0002270     0,026224893     0,006628163     0,032994457      0,02643004
0002310    0,0068715783     0,033254974    -0,046035875     -0,08236883
0002330    -0,036240406     0,023090467    0,0031279942     0,024225978
0002350     0,023486305    0,0032170308     0,024761934    -0,037389714
0002370    -0,082482405    -0,027617117     0,017236693   0,00026852606
0002410     0,014734615     0,017717224   0,00027568423     0,015205704
0002430    -0,035426226     -0,08246495    -0,023032922     0,015222492
0002450    0,0005855566     0,013068608     0,015715312    0,0005659403
0002470     0,013475662    -0,025014002    -0,082421474   -0,0146528045
0002510    0,0075504445   -0,0011953888    0,0040363395     0,007958779
0002530   -0,0012717561     0,004319365    -0,035212632    -0,082519636
0002550    -0,020046635     0,012434338  -0,00020119325     0,010080735
0002570     0,012935918  -0,00023022047     0,010429575    -0,028062496
0002610     -0,08252269    -0,014273131     0,008695452   5,9200596e-05
0002630     0,007153742     0,009159965  -2,9889292e-05     0,007517629
0002650    -0,030201364     -0,08253584    -0,008359421     0,012968205
0002670   -0,0027544135    0,0058197263      0,01345678   -0,0028611785
0002710     0,006034674    -0,037658043     -0,07982949    -0,006030554
0002730     0,018779786   0,00071177003    0,0045458255      0,01917563
0002750   0,00065034465    0,0047139786    -0,036926538    -0,082477205
0002770    -0,004769669     0,016491067   -0,0006220801   -0,0009618803
0003010      0,01693986  -0,00071268354   -0,0008893671    -0,034575213
0003030     -0,08243698   -0,0008982469     0,012020569  -0,00022776693
0003050    -0,002862028     0,012391394  -0,00035960818    -0,002892319
0003070    -0,035667483     -0,08238381       0,0046323     0,011015622
0003110   -0,0010782504    -0,005963056     0,011423629   -0,0011729859
0003130   -0,0061291545      -0,0346818     -0,08235209     0,007171823
0003150     0,017404033   0,00036612837    -0,008815644     0,017842798
0003170   0,00025267203    -0,009027109     -0,03338302     -0,08244673
0003210    0,0121656405    0,0084209675  -0,00084384327     -0,00754233
0003230     0,008803318   -0,0009333438    -0,007887011    -0,027298018
0003250    -0,079859264     0,013003833     0,023614746    0,0017944232
0003270    -0,013230876     0,024081793      0,00176386    -0,013617501
0003310    -0,054387607     -0,08232907      0,02665814     0,011350677
0003330     0,003050302    -0,031565584     0,011717115    0,0030976497
0003350    -0,032085434    -0,035058394     -0,07984715     0,017551014
0003370     0,021366997    0,0016653085    -0,016174052     0,021815969
0003410    0,0016515797     -0,01654269    -0,051991574     -0,08224668
0003430     0,028189594     0,015950955    0,0034923758    -0,035197295
0003450     0,016295586     0,003532636    -0,035686567     -0,04051337
0003470     -0,08239932     0,026968842     0,016793042    0,0025915862
0003510    -0,024881102     0,017228464    0,0025496713    -0,025414692
0003530      -0,0383117     -0,08240642     0,024873126     0,018186692
0003550    0,0025890253     -0,01935642     0,018689178    0,0025378326
0003570    -0,019885708     -0,06222974     -0,08233235      0,04175697
0003610       0,0171885    0,0117358705    -0,035840705     0,017502964
0003630     0,011844633    -0,036454488     -0,06342801     -0,08221162
0003650     0,045145538     0,041197315     0,012399226    -0,036747154
0003670       0,0416067     0,012538172    -0,037083395     -0,06519021
0003710     -0,06469492     0,057967927    0,0070901588     0,006799266
0003730     -0,01631652    0,0072211623    0,0073714927    -0,016259894
0003750     -0,06536341    -0,067565024     0,062020376    0,0096073365
0003770    -0,005021909    -0,018907018     0,009758329   -0,0044127037
0004010    -0,019029029     -0,06654085     -0,08142177      0,06490235
0004030     0,023466371    0,0010455423    -0,011117491     0,023487052
0004050    0,0012121978     -0,01136731     -0,06156137     -0,08214988
0004070     -0,06478508     0,009474678     0,013767966     0,011440033
0004110     0,009697781     0,013927607     0,010922894      -0,0652455
0004130     -0,06618166    -0,065199435    0,0065748417    -0,006317132
0004150     0,006555096    0,0066849845   -0,0056173285    0,0066602645
0004170    -0,050928794     -0,08015934    -0,046454377     0,030228924
0004210     0,005010153     0,029264241     0,030458102     0,005121472
0004230     0,029672671     -0,06603188      -0,0747082     -0,05795867
0004250     0,015029243   -0,0014417242     0,013204947     0,015140387
0004270    -0,001229415     0,013441475     -0,06358648     -0,07833222
0004310    -0,049784105     0,021054247    0,0035659964     0,035254363
0004330     0,021108545    0,0037720683     0,035693504    -0,059663847
0004350    -0,071649626     -0,05404092     0,015821375    0,0036064328
0004370     0,029335301     0,015917772    0,0039044535      0,02949409
0004410     -0,05665499    -0,073100425    -0,055270422     0,026164513
0004430     0,005549081       0,0218141     0,026383586    0,0057413545
0004450     0,022034433     -0,06485125     -0,08221395     -0,03910713
0004470    0,0041651605     0,006055234      0,03771994     0,004304192
0004510     0,006212767     0,038371854     -0,06506938     -0,06388961
0004530    -0,049764886     0,003776066     -0,02005614     0,025886577
0004550    0,0038562724    -0,019826662     0,025976151     -0,05913589
0004570     -0,07422124     -0,03286512    0,0035810499    0,0025238204
0004610     0,036216136    0,0037031022     0,002538222      0,03683284
0004630     -0,06450661    -0,061008945    -0,043316737     0,010357396
0004650    -0,020480068     0,028789032     0,010347697    -0,020532548
0004670     0,028942954    -0,066512644    -0,077908374    -0,028778963
0004710     0,002097907   0,00016857014     0,032596756    0,0021154992
0004730   0,00019371568     0,033324614      -0,0543738    -0,077418774
0004750    -0,030543894     0,021680187    0,0058850464     0,031772427
0004770     0,021936681     0,005967654     0,032295436    -0,062301476
0005010     -0,06979025    -0,017400993   0,00035930355      0,00750283
0005030     0,029696725    0,0004030423     0,007354483     0,030222595
0005050     -0,06562036    -0,067831755   -0,0017002329   0,00064730906
0005070      0,02318335     -0,00656136   0,00059214764     0,022991478
0005110   -0,0065576676    -0,065298356    -0,062987134    -0,005754079
0005130    0,0009456993     0,023180867    0,0010364953    0,0008835683
0005150     0,023082681    0,0012765898    -0,061292008    -0,062860385
0005170     0,020735078    0,0026472611    0,0015627651    -0,030259384
0005210     0,002729416    0,0014938234    -0,030803565     -0,06618618
0005230     -0,07805737     0,009124486    0,0028370037    0,0011308129
0005250    -0,025478983    0,0028429031    0,0009503224    -0,025953338
0005270    -0,058496855     -0,06791116      0,04167046     0,012774166
0005310    0,0032883922    -0,038100716    0,0128233805    0,0034451475
0005330     -0,03859227     -0,05866472     -0,06576775     0,021715293
0005350   -0,0007920828     0,004395563    -0,030902285  -0,00075606146
0005370      0,00429821     -0,03141801     -0,06523417     -0,06548535
0005410      0,04658641    0,0052458975   -0,0003243502    -0,033706166
0005430     0,005316045   -6,931872e-05      -0,0340211    -0,039045475
0005450     -0,07371217      0,02177474      0,02983198     0,005295254
0005470    -0,030554581     0,030277971     0,005244873     -0,03105128
0005510    -0,065048255     -0,07290752     0,055309754     0,003122163
0005530    0,0035007372     -0,02144605    0,0033119142     0,003849956
0005550    -0,021664493    -0,065424785     -0,06759392      0,05159442
0005570     0,008514614    -0,007107511    -0,023413096     0,008654492
0005610    -0,006734998    -0,023715593     -0,06269204    -0,075934835
0005630      0,04156621     0,014956163     0,007172282    -0,036757477
0005650     0,015060464     0,007241783    -0,037325244    -0,062551394
0005670     -0,07995452       0,0526916     0,017453082    0,0016867768
0005710    -0,036009822     0,017791253     0,001856691     -0,03628298
0005730    -0,054335758     -0,08217427     0,044623245     0,032332264
0005750     0,009648051     -0,04124136      0,03267658     0,009780256
0005770    -0,041654926     -0,06587852    -0,069744974     0,064794526
0006010      0,01451331   5,6112825e-05    -0,010855967     0,014682366
0006030   0,00044020324    -0,010320476     -0,06406774     -0,08224309
0006050      0,06516523      0,03934557     0,013391445    -0,018506203
0006070      0,03913233      0,01340089    -0,018814052    -0,060963664
0006110     -0,06478754     -0,05858079     0,010447016   -5,282904e-05
0006130      0,01782296      0,01050165   0,00051715213     0,017787103
0006150     -0,06037304    -0,082222365     -0,05436665      0,02492576
0006170      0,01092278     0,029723357     0,025163839     0,011070324
0006210     0,030185567    -0,054371495     -0,08214879    -0,046408582
0006230     0,025080677     0,007983299     0,030874033     0,025264021
0006250     0,008149605      0,03124355    -0,030703727     -0,08247123
0006270    -0,030099243     0,012701004     0,000807898     0,011531663
0006310     0,013261618   0,00078466843     0,012022976    -0,048727594
0006330     -0,08241839     -0,04213631     0,019273058    0,0050501623
0006350     0,025996564     0,019598331    0,0051104194      0,02648934
0006370     -0,06665752     -0,08075025    -0,054100275     0,010671128
0006410     0,008392816     0,031094339     0,010865569     0,008455446
0006430     0,031371556    -0,061264478    -0,082241066    -0,044449385
0006450      0,00880227     0,007979417     0,033677444      0,00887835
0006470     0,008155128      0,03403437    -0,028922398     -0,08247614
0006510    -0,020511962     0,009697365   0,00057133357     0,007632787
0006530     0,010189277    0,0005091284     0,008075439    -0,036850784
0006550     -0,07298289     -0,01934495     0,020844342     0,008138978
0006570     0,030743735     0,021242745     0,008062192     0,031218074
0006610    -0,033114776    -0,077152535    -0,014246023     0,022508629
0006630    0,0046474054     0,020057436     0,022946067     0,004574073
0006650      0,02037493    -0,043551844     -0,08240275    -0,018556146
0006670     0,014151128   0,00017669424     0,016315024     0,014578542
0006710   0,00015108599      0,01674499     -0,06040988    -0,082457066
0006730    -0,017678045     0,015966654   -0,0006323579     0,017947389
0006750     0,016222162   -0,0006714236      0,01847683    -0,030667111
0006770     -0,08237394   -0,0051507987      0,01832002   -0,0029391868
0007010    0,0027314264     0,018777661    -0,003006144    0,0028506757
0007030     -0,04029115     -0,07984713   -0,0042506354     0,016430594
0007050   0,00010555618     0,001821212     0,016751057     6,71648e-05
0007070    0,0019506046    -0,037371833    -0,082368895    0,0007567827
0007110     0,015781878    2,415033e-05  -0,00088996947      0,01616548
0007130  -5,8238424e-05  -0,00091575447    -0,040017877     -0,07986169
0007150    0,0046151984     0,021394089     0,001966026   -0,0044614677
0007170     0,021766229    0,0019494741   -0,0045834584    -0,037605286
0007210     -0,07677973     0,008466728     0,023414118    0,0042910646
0007230    -0,017262945     0,023802526     0,004208877    -0,017499503
0007250     -0,06177581     -0,08246849     0,014068186    0,0061442563
0007270   -0,0008231133     -0,02559349    0,0062636714  -0,00088820665
0007310    -0,026073124    -0,036625244    -0,082059234     0,012440395
0007330     0,011902504    0,0029790972   -0,0098753935     0,012281587
0007350    0,0028858283    -0,010169099     -0,06483447      -0,0822921
